id,name,daytime_population_ratio,aging_rate,youth_rate,park_area_per_capita,single_household_rate,family_household_rate,fiscal_strength_index
13101,千代田区,1355.4,16.74,12.92,3.99,57.02,26.0,0.84
13102,中央区,374.4,14.24,13.66,3.61,52.6,26.15,0.61
13103,港区,373.4,17.39,13.35,4.25,56.88,25.32,1.15
13104,新宿区,227.1,18.76,8.25,1.62,67.8,17.84,0.66
13105,文京区,147.3,18.55,12.41,1.57,57.89,25.09,0.62
13106,台東区,145.3,20.35,8.05,3.45,59.05,21.63,0.49
13107,墨田区,103.6,20.43,9.38,2.79,52.17,26.68,0.42
13108,江東区,120.9,20.73,11.67,10.7,46.76,31.99,0.5
13109,品川区,137.8,19.38,11.22,3.21,57.28,24.64,0.57
13110,目黒区,104.8,19.66,10.6,1.7,53.2,26.02,0.73
13111,大田区,96.5,22.04,9.84,3.97,53.61,27.11,0.54
13112,世田谷区,90.6,20.71,10.99,2.85,50.97,29.28,0.68
13113,渋谷区,226.1,18.76,10.03,3.08,64.53,19.0,0.96
13114,中野区,94.5,19.41,8.65,1.38,62.35,19.86,0.49
13115,杉並区,84.3,20.89,10.11,2.24,58.59,23.71,0.6
13116,豊島区,136.6,18.9,8.69,0.76,64.03,20.14,0.53
13117,北区,93.5,22.74,10.11,3.06,52.23,27.02,0.39
13118,荒川区,89.0,21.6,10.27,2.02,49.52,29.83,0.34
13119,板橋区,89.5,22.54,9.74,3.19,54.39,26.69,0.43
13120,練馬区,79.9,21.98,11.14,2.88,47.66,31.58,0.46
13121,足立区,89.1,23.92,10.01,4.64,47.35,31.35,0.38
13122,葛飾区,83.2,23.98,10.52,4.36,43.57,33.74,0.35
13123,江戸川区,81.9,21.08,11.19,11.26,44.7,34.87,0.39
